conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.99E+18,Tue Nov 18 09:13:20 +0000 2025,0,Dari Pada Blonde Creamy Latte DISKON jadi 2K-an aja bisa pick up ‼️ Klaim voucher-nya di sini sebelum habis https://t.co/4uue6niSc7 https://t.co/4uue6niSc7 t. daget gofood grabfood kode promo go grab shopee food jerome sfood gojek kopi https://t.co/L2X49aMl0c,1.99E+18,https://pbs.twimg.com/media/G6BsGwnWwAENnyc.jpg,,in,,0,0,0,https://x.com/undefined/status/1990709901333524597,4832675513,
1.99E+18,Tue Nov 18 09:13:47 +0000 2025,0,Dari jam 2 ampe sekarang nyari driver buat gofood baru dapet ya allah,1.99E+18,,,in,,0,0,0,https://x.com/undefined/status/1990710015561502889,1042516975,
1.99E+18,Tue Nov 18 09:17:06 +0000 2025,0,Shopeefood Diskon 70% s/d 19rb minbel 20K. Resto tertentu akun tertentu Cek dan klaim di resto ini https://t.co/R2mThLvcSR https://t.co/R2mThLvcSR Gofood grabfood kode promo go grab shopee food sfood voucher gacoan daget gojek gratis ongkir gojek daget makan https://t.co/lbIqibPRhc,1.99E+18,https://pbs.twimg.com/media/G6Bs96SW4AA3Ybm.jpg,,in,,0,0,0,https://x.com/undefined/status/1990710849611206749,2935865906,
1.99E+18,Tue Nov 18 09:18:59 +0000 2025,0,WINGSTOP SHOPEEFOOD DISKON jadi 5K aja Combo 3 Boneless ‼️ Klaim voucher nya disini sebelum habis https://t.co/D3iHNzk5AI https://t.co/D3iHNzk5AI daget gofood grabfood kode promo go grab shopee food sfood voucher gojek thr shopeepay https://t.co/Gz4CgUAF7u,1.99E+18,https://pbs.twimg.com/media/G6BtZavW0AEFI2H.jpg,,in,,0,0,0,https://x.com/undefined/status/1990711324301570242,4712459707,
1.99E+18,Tue Nov 18 09:20:52 +0000 2025,0,Shopeefood Diskon 100% s/d 30rb. Untuk semua resto akun tertentu aja Cek dan klaim disini https://t.co/KxfBGaAE0h https://t.co/KxfBGaAE0h t. gofood grabfood kode promo go grab shopee food sfood voucher gacoan daget gojek gratis ongkir thr shopeepay https://t.co/2dYhAHtYYK,1.99E+18,https://pbs.twimg.com/media/G6Bt1L-XsAAH79w.jpg,,in,,0,0,0,https://x.com/undefined/status/1990711798111056130,1.93E+18,
1.99E+18,Tue Nov 18 09:22:09 +0000 2025,0,SEINDONESIA SEI AYAM SAPI Yg lagi bm sei sapi nih ada promo cuma 15rb-an per porsi! Mana bisa combo sm voucher yg bikin hemat! Diskon 18 RIBU Klaim 50% sd 20RB Buruan cek https://t.co/VXDFRWrfD1 gofood shopeefood pizza kfc richeese sfood september gacoan mcd hokben https://t.co/TRhgaRfAop,1.99E+18,https://pbs.twimg.com/media/G6BuHpCa8AAuBOW.jpg,,in,,0,0,0,https://x.com/undefined/status/1990712118711296062,1.74E+18,
1.99E+18,Tue Nov 18 09:22:13 +0000 2025,0,Ada potongan Moon Chicken klaim voucher nya di halaman resto (siapa tau hoki) ️ https://t.co/gwckoCbPef Diskon gofood grabfood shopeefood kode promo go grab shopee food daget gojek thr shopeepay https://t.co/uMIMV34za2,1.99E+18,https://pbs.twimg.com/media/G6BuIkbbMAcOvnv.jpg,,in,,0,0,0,https://x.com/undefined/status/1990712134242873663,4499272992,
1.99E+18,Tue Nov 18 09:22:34 +0000 2025,0,AYAM JATINANGOR HAH CUMA 14RIBUAN? Bercanda bgt sih ini. Ayamnya juicy &amp; enak bgt. Gas order mumpung promo DISKON 20RB Klaim voucher 60% https://t.co/EuxLqcPLBh shopeefood gofood payday info hokben richeese shopeepay ojol spay grab mcd kfc november hari gacoan https://t.co/nYsy8oIJM3,1.99E+18,https://pbs.twimg.com/media/G6BuN3FbMAY8pVK.jpg,,in,,0,0,0,https://x.com/undefined/status/1990712225791946770,1.74E+18,
1.99E+18,Tue Nov 18 09:22:59 +0000 2025,0,‼️ Voucher diskon 100% max 40rb! Bisa semua resto Klaim di resto ini sebelum habis https://t.co/p9LzoEogsv https://t.co/p9LzoEogsv t. gofood grabfood shopeefood kode promo go grab shopee food gojek daget gratis ongkir thr dana kaget https://t.co/SCRpU9hNJQ,1.99E+18,https://pbs.twimg.com/media/G6BuT8tW4AAgjJx.jpg,,in,,0,0,0,https://x.com/undefined/status/1990712327121912201,4847603582,
1.99E+18,Tue Nov 18 09:23:07 +0000 2025,0,CHATIME CUMA 4 HARI AJA! Buruan ada Paket JOYFUL cuma 20RIBUAN aja guys! Cek juga Promo Hari Anak yg GRATIS pearl. Jarang2 banget Diskon 20 RIBU Klaim voucher! https://t.co/zP4tz0CtP5 shopeefood richeese burger bangor shopeepay sfood mcd grab gacoan gofood payday https://t.co/JxRj4qlpAF,1.99E+18,https://pbs.twimg.com/media/G6BuVw0bIAAYdSn.jpg,,in,,0,0,0,https://x.com/undefined/status/1990712361741906213,1.74E+18,
1.99E+18,Tue Nov 18 09:23:18 +0000 2025,1,Gua pesen gofood dari jam 3 ga ada yg ngambil drivernya. Dicancel juga gabisa. Udah mau pulang kantor ini njirrr @gojekindonesia !!!,1.99E+18,,,in,,0,1,0,https://x.com/undefined/status/1990712406822301884,143708917,
1.99E+18,Tue Nov 18 09:23:35 +0000 2025,0,SUSHI YAY Laper gini paling mantap kalo ada promo paket 30ribuan guys. Dapet sushi banyak &amp; murce! Bikin puas banget! Andalan tiap BM DISKON 18RB Klaim voucher 50%! https://t.co/nyxu3ix3Fa phd kfc shopeefood gofood gacoan sfood shopeepay mcd tei richeese sushiyay https://t.co/B7ib5wH8R8,1.99E+18,https://pbs.twimg.com/media/G6BucyjbMAEsfwL.jpg,,in,,0,0,0,https://x.com/undefined/status/1990712481879371892,1.74E+18,
1.99E+18,Tue Nov 18 09:24:27 +0000 2025,0,Janji Jiwa Flash sale Diskon jadi 6K ajaa! Egg and Cheese + Minuman Klaim voucher nya di sini sebelum habis https://t.co/GmHOqfjVub https://t.co/GmHOqfjVub t. gofood grabfood shopeefood kode promo go grab shopee food gojek daget dana kaget thr shopeepay https://t.co/lk3duZd8Py,1.99E+18,https://pbs.twimg.com/media/G6BupO6WUAA-YLM.png,,in,,0,0,0,https://x.com/undefined/status/1990712696950374578,4504704138,
1.99E+18,Tue Nov 18 09:25:41 +0000 2025,0,PROMO PHD PIZZA HUT Cobain Menu K-Series Buldak yg nagih banget! Cocok buat self reward hari ini ga sih DISKON 18RB Voucher 40% sd 45RB Jgn lupa klaim voucher combo https://t.co/x0TYrEFPUE shopeefood gofood richeese shopeepay sfood spay gacoan domino mcd kfc https://t.co/KUC1HWdOuz,1.99E+18,https://pbs.twimg.com/media/G6Bu7YQbcAASkvE.jpg,,in,,0,0,0,https://x.com/undefined/status/1990713008407130161,1.74E+18,
1.99E+18,Tue Nov 18 09:26:09 +0000 2025,0,PROMO KFC BURUAN CEK Crazy Deals Petoook Duo cuma 18ribuan + LDR PACKAGE yg bikin puas Cocok buat sarapan &amp; makan siang ga sih? DISKON 20 RB Klaim 20% sd 10rb Cek voucher! https://t.co/ozwzStoOhs shopeefood gofood shopeepay spay gacoan mcd richeese pizza hidden https://t.co/swOjRopSM1,1.99E+18,https://pbs.twimg.com/media/G6BvCGFbMAQv4Ya.jpg,,in,,0,0,0,https://x.com/undefined/status/1990713124752871508,1.74E+18,
1.99E+18,Tue Nov 18 09:29:47 +0000 2025,0,Shopeefood Diskon 90% s/d 25rb ‼️ Khusus untuk resto tertentu! Cek dan klaim dari resto ini https://t.co/doSg7AQUTA t. gofood grabfood kode promo go grab shopee food sfood voucher gojek https://t.co/O1V84kraIR,1.99E+18,https://pbs.twimg.com/media/G6Bv3nYXYAAZF9i.jpg,,in,,0,0,0,https://x.com/undefined/status/1990714039412957438,1.94E+18,
1.99E+18,Tue Nov 18 09:31:58 +0000 2025,0,Shopeefood Diskon 100% s/d 35rb minbel 20K. Semua resto akun tertentu ‼️‼️ Cek dan klaim di resto ini https://t.co/tboY5WoY0a https://t.co/tboY5WoY0a t. gofood grabfood kode promo go grab shopee food sfood voucher daget gojek gratis ongkir https://t.co/xhnwiuWGXS,1.99E+18,https://pbs.twimg.com/media/G6BwXjvXkAEjhNp.jpg,,in,,0,0,0,https://x.com/undefined/status/1990714587843289297,1.94E+18,
1.99E+18,Tue Nov 18 09:34:36 +0000 2025,0,‼️ ShopeeFood DISKON 100% Max 30rb * Semua resto pesanan terjadwal Klaim dan belinya disiniii https://t.co/8h7LPu2Dl3 https://t.co/8h7LPu2Dl3 t. gofood grabfood kode promo go grab shopee food sfood voucher daget gojek gratis ongkir https://t.co/Iuzzqn0zsO,1.99E+18,https://pbs.twimg.com/media/G6Bw-JLWcAAvJv0.jpg,,in,,0,0,0,https://x.com/undefined/status/1990715250354597954,4499272992,
1.99E+18,Tue Nov 18 09:40:45 +0000 2025,0,Masa gua harus nunggu satu setengah jam buat cancel gofood????? Udah keburu pulang kantor ini @gojekindonesia,1.99E+18,,punyawindii,in,,0,0,0,https://x.com/undefined/status/1990716797905977565,143708917,
1.99E+18,Tue Nov 18 09:50:29 +0000 2025,0,@ejiwoong Lah itu mah abang gw mah gofood,1.99E+18,,ejiwoong,in,,0,0,0,https://x.com/undefined/status/1990719247635386865,1399773092,
1.99E+18,Tue Nov 18 09:52:01 +0000 2025,0,@faris_amrans @SosmedAnu @RecehinAjaid moal ngartieun biasa mesen gofood mah,1.99E+18,,faris_amrans,in,,0,0,0,https://x.com/undefined/status/1990719636095021501,1.20E+18,
1.99E+18,Tue Nov 18 10:02:49 +0000 2025,1,Plis ya gofood ini aku udah nunggu sejam lebih terus di cancel karena ga dapet driver ⁉️ Try harder @gojekindonesia ?? AKUU LAPERRRRRR T T,1.99E+18,,,in,,0,0,0,https://x.com/undefined/status/1990722353039360456,1.31E+18,
1.99E+18,Tue Nov 18 10:07:09 +0000 2025,0,hujan kapan reda plss aku mau gofood,1.99E+18,,,in,,0,0,0,https://x.com/undefined/status/1990723443923235198,1.74E+18,
1.99E+18,Tue Nov 18 10:12:39 +0000 2025,0,@mystarfalls Iyaa mau di pijitin apa mau di kirimin gofood ?,1.99E+18,,mystarfalls,in,,0,0,0,https://x.com/undefined/status/1990724826995065325,1.85E+18,
1.99E+18,Tue Nov 18 10:13:53 +0000 2025,0,Dari Pada Blonde Creamy Latte DISKON jadi 2K-an aja bisa pick up ‼️ Klaim voucher-nya di sini sebelum habis https://t.co/4uue6niSc7 https://t.co/4uue6niSc7 t. daget gofood grabfood kode promo go grab shopee food jerome sfood gojek kopi https://t.co/KYfCn7gG9B,1.99E+18,https://pbs.twimg.com/media/G6B59p9WYAAT--d.jpg,,in,,0,0,0,https://x.com/undefined/status/1990725139198025807,4832675513,
1.99E+18,Tue Nov 18 10:18:08 +0000 2025,0,Shopeefood Diskon 70% s/d 19rb minbel 20K. Resto tertentu akun tertentu Cek dan klaim di resto ini https://t.co/R2mThLvKIp https://t.co/R2mThLvKIp Gofood grabfood kode promo go grab shopee food sfood voucher gacoan daget gojek gratis ongkir gojek daget makan https://t.co/QpfR7actET,1.99E+18,https://pbs.twimg.com/media/G6B68C6aYAAyYCt.jpg,,in,,0,0,0,https://x.com/undefined/status/1990726209697931498,2935865906,
1.99E+18,Tue Nov 18 10:20:08 +0000 2025,0,WINGSTOP SHOPEEFOOD DISKON jadi 5K aja Combo 3 Boneless ‼️ Klaim voucher nya disini sebelum habis https://t.co/D3iHNzk5AI https://t.co/D3iHNzk5AI daget gofood grabfood kode promo go grab shopee food sfood voucher gojek thr shopeepay https://t.co/KabfDpUqnq,1.99E+18,https://pbs.twimg.com/media/G6B7ZH8WsAAVEBc.jpg,,in,,0,0,0,https://x.com/undefined/status/1990726711743279125,4712459707,
1.99E+18,Tue Nov 18 11:18:36 +0000 2025,0,Ada potongan Moon Chicken klaim voucher nya di halaman resto (siapa tau hoki) ️ https://t.co/gwckoCbhoH Diskon gofood grabfood shopeefood kode promo go grab shopee food daget gojek thr shopeepay https://t.co/1jn9hUbi5c,1.99E+18,https://pbs.twimg.com/media/G6CIxhlW4AAUjqN.jpg,,in,,0,0,0,https://x.com/undefined/status/1990741424673869911,4499272992,
1.99E+18,Tue Nov 18 11:18:42 +0000 2025,0,‼️ Voucher diskon 100% max 40rb! Bisa semua resto Klaim di resto ini sebelum habis https://t.co/p9LzoEogsv https://t.co/p9LzoEogsv t. gofood grabfood shopeefood kode promo go grab shopee food gojek daget gratis ongkir thr dana kaget https://t.co/AmjxNxEw2L,1.99E+18,https://pbs.twimg.com/media/G6CIzB8WoAAm9_u.jpg,,in,,0,0,0,https://x.com/undefined/status/1990741448409407895,4847603582,
1.99E+18,Tue Nov 18 11:19:52 +0000 2025,0,Janji Jiwa Flash sale Diskon jadi 6K ajaa! Egg and Cheese + Minuman Klaim voucher nya di sini sebelum habis https://t.co/GmHOqfktjJ https://t.co/GmHOqfktjJ t. gofood grabfood shopeefood kode promo go grab shopee food gojek daget dana kaget thr shopeepay https://t.co/dySuKQ1t39,1.99E+18,https://pbs.twimg.com/media/G6CJEBcbMAYAwnP.png,,in,,0,0,0,https://x.com/undefined/status/1990741742413623661,4504704138,
1.99E+18,Tue Nov 18 11:21:47 +0000 2025,0,Plisss driver gofood pada kmna kok gaada yang accept ,1.99E+18,,,in,,0,0,0,https://x.com/undefined/status/1990742225693888720,7.67E+17,
1.99E+18,Tue Nov 18 11:22:04 +0000 2025,0,Klaim vc di halaman restoo siapa tau akunnya wangii️ https://t.co/OjyYGLG30I gofood grabfood shopeefood kode promo go grab shopee food diskon voucher daget gojek https://t.co/mwHzXrVMjl,1.99E+18,https://pbs.twimg.com/media/G6CJkjmWMAERW66.jpg,,in,,0,0,0,https://x.com/undefined/status/1990742299010081247,1.95E+18,
